,track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Loser,3 Doors Down,1aC1IBAETh2XYGOE8kCC6t,0.493,0.88,-6.424,0.0693,0.0108,2.66e-05,0.226,0.389,147.913,4
1,Hanging by a Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,0.541,0.864,-4.915,0.0357,0.00118,0,0.0896,0.435,124.557,4
2,Kryptonite,3 Doors Down,6ZOBP3NvffbU4SZcrnt1k6,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,4
3,Otherside,Red Hot Chili Peppers,64BbK9SFKH2jk86U3dGj2P,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
4,Hemorrhage (In My Hands),Fuel,1sjrDQXqAa9V07FjKIlAQ4,0.301,0.823,-4.072,0.0433,0.000144,0.000309,0.0833,0.372,152.017,4
5,Butterfly,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4
6,With Arms Wide Open,Creed,0eKyHwckh9vQb8ncZ2DXCs,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852,4
7,Drive,Incubus,7nnWIPM5hwE3DaUBkvOIpy,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,4
8,Why Pt. 2,Collective Soul,7ldnttFcRZRgfLSNmDbSSg,0.668,0.647,-4.946,0.0813,0.0284,0.000349,0.134,0.747,121.628,3
9,Last Resort,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky,0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,4
10,Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,4
11,Outside,Aaron Lewis,6eSrE9uc8oqyxXMfzdbZMC,0.358,0.429,-9.569,0.0337,0.801,0.000176,0.975,0.202,145.482,4
12,Rollin' (Air Raid Vehicle),Limp Bizkit,3IV4swNduIRunHREK80owz,0.603,0.933,-3.358,0.171,0.00591,0,0.206,0.709,96.306,4
13,I Disappear,Metallica,51Vic2Yi71YKNtLbyJKgQt,0.534,0.929,-3.609,0.047,0.000206,5.58e-05,0.036,0.447,122.733,4
14,One Step Closer,Linkin Park,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
15,Pardon Me,Incubus,1Y13csEpu3TK5gQdzGLrd8,0.579,0.812,-6.509,0.0693,0.00114,0.00333,0.115,0.278,152.002,4
16,Take A Picture,Filter,6q4aoWgTQ8td2AvqQXuFqm,0.541,0.776,-8.042,0.0298,0.00147,0.000221,0.178,0.282,98.986,4
17,Californication,Red Hot Chili Peppers,48UPSzbZjgc449aqz8bxox,0.592,0.767,-2.788,0.027,0.0021,0.00165,0.127,0.328,96.483,4
18,Miserable,Lit,2zLZuZFgf4mn3af8wILpHS,0.424,0.706,-3.548,0.0404,0.00384,0,0.395,0.294,82.081,4
19,The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,-4.244,0.0572,0.0302,0,0.0454,0.76,104.504,4
20,Minority,Green Day,4qjfQnccStTR8zNsb6Mizo,0.551,0.965,-2.772,0.0452,0.00576,0,0.171,0.708,137.841,4
21,Rollin' (Urban Assault Vehicle),Limp Bizkit,3nsxMrnYlfBNotHRevTRgM,0.589,0.884,-4.918,0.324,0.0451,0,0.0904,0.439,90.036,4
22,The Everlasting Gaze,The Smashing Pumpkins,4EhbLHYOXzEoPmOfaVoIIW,0.264,0.936,-5.067,0.0946,0.000101,0.594,0.199,0.351,146.837,4
23,Voodoo,Godsmack,5uGsG0LfotfWDq6hql4h53,0.778,0.613,-9.897,0.0488,0.17,2.56e-06,0.102,0.853,120.005,4
24,Only God Knows Why,Kid Rock,1rAzW6aco1ZtxLRx4XOagB,0.628,0.749,-5.18,0.03,0.0569,0.00204,0.134,0.31,129.2,4
25,Again,Lenny Kravitz,5c1QJAiC3773EwiZLwHf5x,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,4
26,Everything You Want,Vertical Horizon,4cKGldbhGJniI8BrB3K6tb,0.636,0.761,-6.389,0.0306,0.0517,0,0.0642,0.736,93.896,4
27,Original Prankster,The Offspring,6gfDXAX85YWdVwxpbz0npv,0.664,0.877,-4.251,0.0334,0.000542,2.95e-05,0.284,0.961,146.804,4
28,Little Black Backpack,Stroke 9,36n3OdHmEJqvWl5Ut2pDtF,0.316,0.778,-5.375,0.0441,0.00115,0,0.227,0.311,120.292,3
29,Guerrilla Radio,Rage Against The Machine,1wsRitfRRtWyEapl0q22o8,0.599,0.957,-5.764,0.188,0.0129,7.06e-05,0.155,0.489,103.68,4
30,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
31,Stiff Upper Lip,AC/DC,1KBuhAHzia2qoD4u6YhvER,0.588,0.851,-4.206,0.033,0.0344,0.00773,0.16,0.706,123.691,4
32,South Side,Moby,49bUJjrC16NgnrgGS75Yan,0.61,0.723,-7.572,0.0422,0.0103,0.0447,0.0748,0.45,97.147,4
33,Stand Inside Your Love,The Smashing Pumpkins,3RciEQxS7PxtLqMs7OwRsU,0.271,0.759,-7.419,0.0327,3.37e-06,0.842,0.335,0.381,136.081,4
34,Falling Away From Me,Korn,2F6FfZ4w8z3eJpSxPotVO5,0.468,0.769,-7.036,0.041,0.00014,0.00124,0.271,0.17,104.102,4
35,Warning,Green Day,0ue0gFLwvXd8qZIPg35Qiu,0.728,0.92,-2.828,0.0294,0.0673,1.61e-05,0.199,0.892,120.989,4
36,Sour Girl,Stone Temple Pilots,6wNwHBUjsessjRioNVFbaO,0.394,0.663,-6.619,0.0295,0.0769,0.00644,0.239,0.737,207.575,4
37,Beautiful Day,U2,1VuBmEauSZywQVtqbxNqka,0.539,0.926,-6.495,0.0499,0.014,0.00136,0.36,0.454,136.279,4
38,The Bad Touch,Bloodhound Gang,5EYdTPdJD74r9EVZBztqGG,0.831,0.735,-6.254,0.0384,0.00397,0.0205,0.123,0.97,122.979,4
39,Change (In the House of Flies),Deftones,51c94ac31swyDQj9B3Lzs3,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
40,Stellar,Incubus,6ISuXA3UCPMtsyEUGUTAyn,0.582,0.765,-6.544,0.0376,0.00106,0.0506,0.344,0.528,128.164,4
41,Wonderful,Everclear,0WHOPmOuQKuu05k4g3UTvk,0.514,0.817,-6.489,0.05,0.0118,8.25e-06,0.346,0.734,186.765,4
42,Judith,A Perfect Circle,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,-4.682,0.0568,3.45e-05,0.17,0.267,0.304,82.305,3
43,Optimistic,Radiohead,1FoUsSi9BCTlNt2Vd7V8XA,0.402,0.757,-9.931,0.0371,0.0496,0.846,0.305,0.573,157.96,4
44,What If,Creed,22bX2FwXSvG49G0bPWm5nc,0.433,0.895,-5.548,0.0587,0.000127,1.7e-05,0.358,0.246,149.896,4
45,Weapon & The Wound,Days Of The New,3aK2kWz8YJZKzfNr4VJnE5,0.611,0.637,-6.479,0.0262,0.109,0.0013,0.111,0.369,132.211,4
46,Shape of My Heart,Backstreet Boys,35o9a4iAfLl5jRmqMX9c1D,0.575,0.786,-4.353,0.0296,0.252,0,0.159,0.518,96.102,4
47,Serious JuJu,Sammy Hagar,6iqqG1budDq1s8FRB9ylFe,0.528,0.835,-6.263,0.04,0.0232,0.0839,0.189,0.258,106.002,4
48,Right Now,SR-71,3iwsyTZzOWHZbHffBEyi1N,0.524,0.967,-3.322,0.0392,0.000289,7.41e-06,0.324,0.731,116.273,4
49,Nothing As It Seems,Pearl Jam,1pNSYQkmeFSqsSOGwwxs5L,0.241,0.508,-9.791,0.0275,0.0362,0.599,0.167,0.0445,140.627,4
50,Ex-Girlfriend,No Doubt,5ECMRJbRlj0FZRg9cRg94m,0.546,0.907,-4.117,0.09,0.0135,0.00232,0.169,0.654,173.178,4
51,Into The Void,Nine Inch Nails,55Ilqi0tkzElAOqDPixuDU,0.712,0.796,-5.926,0.0435,0.145,0.0475,0.076,0.361,93.046,4
52,Adam's Song,Blink-182,6xpDh0dXrkVp0Po1qrHUd8,0.52,0.775,-5.803,0.0348,0.034,0,0.364,0.382,136.028,4
53,The Great Beyond,R.E.M.,7w57O4o0xCTn9YpKuaPZDd,0.329,0.747,-6.411,0.0297,0.125,2.08e-06,0.197,0.177,109.702,4
54,So Sad To Say,The Mighty Mighty Bosstones,6aSvrNcJuoKOA9uwMXZI1D,0.455,0.919,-2.707,0.0486,0.00112,0.000128,0.148,0.759,181.088,4
55,Voices,Disturbed,47H4oc7Zkihwae7ST7F4zp,0.589,0.983,-2.521,0.121,0.000116,0.00211,0.0628,0.469,110.007,4
56,Rise,Gabrielle,6wpfoKaI2qTMWoduhrMspf,0.555,0.48,-9.524,0.0256,0.314,1.28e-05,0.094,0.621,144.654,4
57,Simple Kind Of Life,No Doubt,3CY7wjLc1CaAIrp9buEWhG,0.576,0.849,-5.199,0.0355,0.0678,0,0.278,0.482,119.999,4
58,When It All Goes Wrong Again,Everclear,3HBaF3RNVlpO16QupGGRBZ,0.265,0.97,-4.841,0.123,5.88e-05,0.00227,0.294,0.272,197.937,4
59,Man Overboard,Blink-182,1PRknVhZ6BsVX61MPrrVsV,0.218,0.921,-4.414,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,4
60,Silver Future,Monster Magnet,7kv2c8CpQ3SPwaISPimmBa,0.574,0.829,-5.677,0.0385,0.000699,0.142,0.21,0.479,99.878,4
61,Breathless,The Corrs,5OQGeJ1ceykovrykZsGhqL,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,4
62,Make Me Bad,Korn,286ek1kspX7VFaheXFSvPk,0.531,0.793,-6.889,0.0496,0.000192,0.0241,0.229,0.417,110.003,4
63,Never Let You Go,Third Eye Blind,3kRfBrDqWnoSArV7erncZi,0.735,0.928,-6.115,0.0377,0.108,0.000398,0.0578,0.966,113.765,4
64,Take a Look Around,Limp Bizkit,2avKuMN2QXkaG9vvHa2JLt,0.425,0.852,-5.607,0.046,0.0175,0.306,0.0935,0.512,101.968,4
65,AM Radio,Everclear,03gsb1WnVQUuLqChBvzmoo,0.622,0.964,-4.314,0.0832,0.0636,1.03e-05,0.235,0.609,92.973,4
66,If You're Gone,matchbox twenty,2f5N826udWfjT9iomeaBJt,0.544,0.659,-7.191,0.0298,0.427,1.33e-06,0.126,0.361,109.933,4
67,Young Lust,Pink Floyd,3xGJuHvSxFJxxYlHj5BIoT,0.615,0.55,-13.858,0.0349,0.0546,0.19,0.747,0.549,95.488,4
68,Promise,Eve 6,5mqEL5pgnDCcWtTWpAofIV,0.62,0.85,-4.096,0.0327,0.00791,0,0.0769,0.715,107.982,4
69,It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,4
70,Never Gonna Come Back Down,BT,5I3eSFsQL7mIZZssKTolon,0.533,0.956,-4.219,0.169,0.00113,0.000115,0.704,0.553,136.007,4
71,Warm Machine,Bush,4DuTm2YZSxck0LhQDUs8Qs,0.176,0.885,-3.279,0.0651,0.00102,0.000174,0.233,0.292,143.706,4
72,Babylon,David Gray,5jLqVCGlKNYrLqCA1Qy4FV,0.737,0.543,-10.403,0.0374,0.0598,0.01,0.103,0.256,112.016,4
73,Painted Perfect,One Way Ride,35mWGe9tTtfmmJF0ubpSas,0.391,0.845,-6.598,0.0356,0.000721,0.0263,0.0796,0.427,138.804,4
74,Flowing,311,3p6VOdsqF0GPnNFoBd0x88,0.533,0.952,-4.992,0.0436,0.003,0,0.251,0.195,125.98,4
75,Next Year,Foo Fighters,1WwWjG2FGbBK6IkBBTknao,0.415,0.865,-2.789,0.0379,0.00551,0.103,0.274,0.465,176.864,4
76,The Hollow,A Perfect Circle,4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4
77,Heaven & Hot Rods,Stone Temple Pilots,3MVgLX5TBsn1xQ8gtmXhyW,0.4,0.996,-4.452,0.0882,0.00127,0,0.409,0.0612,131.056,4
78,Teenage Dirtbag,Wheatus,3LI4MmibTkXH5cGpCGZgyw,0.617,0.84,-4.063,0.0512,0.36,8.85e-05,0.179,0.57,94.676,4
79,I Turn to You,Melanie C,1Le4SDanBrX8OtmnnyTNrh,0.522,0.803,-5.825,0.0327,0.00117,0.00167,0.31,0.0783,135.205,4
80,Karma,Diffuser,0XDFGM6Zm304LgeFkWv5nJ,0.374,0.763,-6.005,0.0375,3.37e-05,0.0256,0.0914,0.621,93.807,4
81,Light Years,Pearl Jam,1Tnixg8lMEydzmBsZzxQpR,0.388,0.726,-6.911,0.0341,0.0447,0.113,0.213,0.746,205.07,4
82,Letting the Cables Sleep,Bush,4mn3mydzkoVgDOiSqNOEG1,0.326,0.306,-14.549,0.0347,0.749,0.109,0.0882,0.217,204.047,4
83,Are You Ready?,Creed,2DZuw7l7616rrJmI7GMRjA,0.433,0.881,-5.635,0.0417,2.51e-05,0.00377,0.0921,0.382,144.85,4
84,Nobody's Real,Powerman 5000,2VGf3YQ6Zfzb6YyDatYAcY,0.697,0.819,-3.407,0.0762,0.0278,1.04e-05,0.0198,0.698,119.959,4
85,Step into the Light,Dust for Life,49oEfdO5AGInIfXoyud5eo,0.489,0.899,-4.56,0.035,7.22e-05,0.000351,0.324,0.511,141.915,4
86,On The Roof Again,Eve 6,2L50S184moxNmEiJe00zzP,0.603,0.915,-4.866,0.0486,0.000732,0,0.363,0.796,124.129,4
87,How You Remind Me,Nickelback,0gmbgwZ8iqyMPmXefof8Yf,0.446,0.764,-5.042,0.033,0.00135,0,0.099,0.543,172.094,4
88,It's Been Awhile,Staind,25CMmGsl22APKhfuj4Tp7j,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.143,0.0824,116.529,4
89,Blurry,Puddle of Mudd,6lSr3iZTC144PKhvbPFzMp,0.431,0.938,-4.507,0.0542,0.00805,0,0.138,0.523,157.462,4
90,Wasting My Time,Default,5dpAN1mjFPL38kh9kWsCiw,0.449,0.776,-5.594,0.0322,0.00171,0,0.0698,0.198,148.11,4
91,Hanging By A Moment,Lifehouse,0wqOReZDnrefefEsrIGeR4,0.541,0.864,-4.915,0.0357,0.00118,0,0.0896,0.435,124.557,4
92,My Sacrifice,Creed,2VSbEXqs6NbNiZSTcHlIDR,0.32,0.88,-6.035,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,4
93,Butterfly,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.107,0.609,103.502,4
94,In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,4
95,Too Bad,Nickelback,2cCWbBmadLbKvr9xddC79R,0.598,0.808,-5.209,0.0388,0.00304,0,0.147,0.288,128.025,4
96,The Middle,Jimmy Eat World,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,-5.428,0.0526,0.0371,0,0.058,0.903,162.152,4
97,Youth of the Nation,P.O.D.,0UrWr7Jnu1heq1o99ZwUd0,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.39,0.517,97.867,4
98,Awake,Godsmack,6xXlurslWqFuyqTCBlErzX,0.395,0.756,-4.12,0.0544,1.74e-05,0.00665,0.319,0.475,112.092,4
99,Smooth Criminal,Alien Ant Farm,5z6xHjCZr7a7AIcy8sPBKy,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.144,0.87,126.928,4
100,For You,Staind,464HG7mt7NNKtKY0Hco8Y8,0.318,0.958,-2.683,0.442,0.0603,4.68e-06,0.0981,0.3,163.089,4
101,Jaded,Aerosmith,4iihDHIoKZdOeOW1kFDUtR,0.517,0.89,-4.033,0.0539,0.005,1.47e-05,0.0824,0.632,118.009,4
102,Thank You,Dido,751gBcu62kORDelX7FV0mM,0.722,0.595,-9.928,0.0415,0.284,0.00054,0.0694,0.738,79.981,4
103,Warning,Green Day,0ue0gFLwvXd8qZIPg35Qiu,0.728,0.92,-2.828,0.0294,0.0673,1.61e-05,0.199,0.892,120.989,4
104,Crawling in the Dark,Hoobastank,1PJRDeZSoZk7gtisdTYfLi,0.588,0.927,-4.776,0.113,0.000305,3.83e-05,0.195,0.652,93.571,4
105,One Step Closer,Linkin Park,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
106,Duck and Run,3 Doors Down,0s8OsDxW96cl290PcsI2mX,0.524,0.919,-5.505,0.0436,0.0149,7.05e-05,0.131,0.848,87.931,4
107,Control,Puddle of Mudd,575Sz3R4xOhueUstPObylF,0.444,0.913,-3.452,0.0992,0.00308,0,0.38,0.569,163.689,4
108,Yellow,Coldplay,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
109,Alive,P.O.D.,0KSpHNE0VOgOh9esiCb0ut,0.409,0.952,-3.761,0.0756,1.23e-05,0.000156,0.31,0.55,80.899,4
110,Follow Me,Uncle Kracker,4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,-4.688,0.0301,0.439,0,0.147,0.916,105.014,4
111,Breakdown,Tantric,6tpGF2kYnrqO0S44jKxduZ,0.569,0.945,-5.673,0.0503,0.00936,0,0.121,0.483,100.04,4
112,Wish You Were Here,Incubus,6KtLECDztnah63TNmV4Plw,0.246,0.768,-7.48,0.0387,0.000631,0.301,0.102,0.35,169.873,4
113,Crawling,Linkin Park,57BrRMwf9LrcmuOsyGilwr,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4
114,Fat Lip,Sum 41,4KacUpvbA3Mfo05gttTjhN,0.402,0.914,-5.215,0.142,0.000579,0,0.065,0.626,196.505,4
115,My Way,Limp Bizkit,2gSVKxPDww9Eep5rdvtdem,0.576,0.864,-3.981,0.0462,0.02,1.68e-06,0.683,0.609,97.225,4
116,"Whenever, Wherever",Shakira,2lnzGkdtDj5mtlcOW2yRtG,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,4
117,Lickin',The Black Crowes,4hH5CgAmWOJXm1bnGkUOLM,0.745,0.685,-8.427,0.045,0.0018,0.0128,0.568,0.968,125.529,4
118,Hash Pipe,Weezer,2mPMFJvQ0v27gVqe5b6nDn,0.578,0.882,-6.354,0.044,0.000121,0.479,0.284,0.623,125.603,4
119,Defy You,The Offspring,5VBVIcMh6CWy8szP3U0Ttp,0.491,0.841,-3.651,0.0387,0.000609,2.4e-06,0.131,0.669,92.297,4
120,Nice to Know You,Incubus,77eRSoQbDt4qHlAhUqovmy,0.515,0.864,-5.384,0.0478,0.00182,7.32e-05,0.108,0.232,153.966,4
121,Your Disease,Saliva,1SpjTDqWwEMche6JR9iOYz,0.376,0.963,-2.99,0.0782,9.31e-06,0.925,0.343,0.505,159.887,4
122,When It All Goes Wrong Again,Everclear,3HBaF3RNVlpO16QupGGRBZ,0.265,0.97,-4.841,0.123,5.88e-05,0.00227,0.294,0.272,197.937,4
123,Fade,Staind,70b6WxS0cjxbQqvdu4Q4Sa,0.471,0.846,-3.632,0.0416,0.00209,0.0369,0.126,0.255,116.469,4
124,The Rock Show,Blink-182,2ydUT1pFhuLDnouelIv4WH,0.41,0.959,-4.563,0.0869,0.000324,0,0.0766,0.83,193.155,4
125,Clint Eastwood,Gorillaz,7yMiX7n9SBvadzox8T5jzT,0.663,0.694,-8.627,0.171,0.0253,0,0.0698,0.525,167.953,4
126,Greed,Godsmack,1POl67wsGLRP5e0oeZHUgh,0.518,0.744,-6.312,0.0428,1.65e-05,2.38e-05,0.147,0.679,102.887,4
127,Down with the Sickness,Disturbed,40rvBMQizxkIqnjPdEWY1v,0.695,0.876,-4.262,0.0553,0.000996,6.89e-06,0.106,0.941,89.954,4
128,Soul Singing,The Black Crowes,53iyt9vi8jhkOqpYVVwkf9,0.382,0.615,-11.285,0.037,0.0298,9.8e-05,0.228,0.578,168.614,4
129,Tainted Love,Marilyn Manson,0cOyhnhy13lc5G5nr4EF0q,0.637,0.95,-4.4,0.109,0.00104,7.35e-06,0.288,0.511,142.018,4
130,Hey Pretty,Poe,1IBEqJDBmNzoEiSBKaUvji,0.537,0.846,-6.656,0.0361,0.0469,0.00114,0.146,0.526,104.899,4
131,Last Nite,The Strokes,3SUusuA9jH1v6PVwtYMbdv,0.624,0.899,-5.709,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4
132,Killing The Fly,The Union Underground,5soCqO6QzwbmjQNkqjDw4R,0.554,0.926,-5.17,0.0621,0.0115,0.0801,0.247,0.594,115.064,4
133,Chop Suey!,System Of A Down,2DlHlPMa4M17kufBvI2lEN,0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066,4
134,The Hollow,A Perfect Circle,4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4
135,The One,Foo Fighters,1UbZVvN4mSOmDvn4er7IKB,0.511,0.95,-4.155,0.0725,0.001,1.44e-05,0.079,0.514,162.072,4
136,Days of the Week,Stone Temple Pilots,3gbSjtYQVoO9Zy9UZpsvFU,0.568,0.879,-4.694,0.0452,5.54e-05,1.81e-05,0.13,0.794,115.628,3
137,Gets Me Through,Ozzy Osbourne,4MN0ZmFppiiQsPE9HQKKsH,0.431,0.835,-6.162,0.0392,0.000623,0.000149,0.428,0.303,147.982,4
138,The Way You Like It,Adema,6adhpSbrhat9S0WEVjf4HP,0.424,0.936,-4.541,0.147,0.000249,0,0.0707,0.761,164.175,4
139,Hit Or Miss,New Found Glory,2JGfAzStXQ1VEo6H4l6rSR,0.418,0.986,-5.475,0.111,0.000157,0.000155,0.236,0.602,175.347,4
140,Voices,Disturbed,47H4oc7Zkihwae7ST7F4zp,0.589,0.983,-2.521,0.121,0.000116,0.00211,0.0628,0.469,110.007,4
141,Drops of Jupiter (Tell Me),Train,2hKdd3qO7cWr2Jo0Bcs0MA,0.481,0.638,-5.862,0.0276,0.153,0,0.154,0.497,79.064,4
142,Step Into The Light,Dust For Life,49oEfdO5AGInIfXoyud5eo,0.489,0.899,-4.56,0.035,7.22e-05,0.000351,0.324,0.511,141.915,4
143,Lateralus,Tool,7tvuLLroI0n6uYBWuFig5d,0.387,0.677,-8.399,0.084,0.00108,0.871,0.101,0.371,172.812,3
144,Digital Bath,Deftones,2jSJm3Gv6GLxduWLenmjKS,0.338,0.859,-4.938,0.0824,0.00122,0.211,0.0936,0.504,92.966,4
145,Rise,The Cult,1TbihmZ2BtE4JP6C85I0zZ,0.349,0.92,-3.44,0.0607,2.33e-05,0.0259,0.0365,0.417,148.521,4
146,Photograph,Weezer,4hA3OFMvHCFCK3TfJYdbif,0.463,0.899,-4.554,0.0459,9.33e-05,0.00145,0.395,0.404,124.796,4
147,Bodies,Drowning Pool,7CpbhqKUedOIrcvc94p60Y,0.656,0.932,-3.405,0.0708,0.00347,0.00147,0.144,0.544,130.936,4
148,First Date,Blink-182,1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,-4.344,0.0411,0.000715,0,0.18,0.882,95.594,4
149,Elevation,U2,0RHPoliIwT6ddbPugZNitX,0.581,0.804,-8.093,0.0361,0.00105,0.000289,0.05,0.418,110.022,4
150,Bleed American,Jimmy Eat World,61XspFITuKmAlYdQacNCbF,0.438,0.938,-5.611,0.094,0.00842,1.08e-06,0.806,0.584,160.212,4
151,Hang On To This,Days Of The New,23Upadj83RZRSIeDdbRKHm,0.47,0.929,-5.206,0.0411,0.000466,0,0.308,0.733,145.874,4
152,Karma,Diffuser,0XDFGM6Zm304LgeFkWv5nJ,0.374,0.763,-6.005,0.0375,3.37e-05,0.0256,0.0914,0.621,93.807,4
153,It Don't Matter,Rehab,4OhDlODBpYNg4tuWHh8kj2,0.673,0.82,-5.265,0.17,0.0462,0,0.129,0.718,87.231,4
154,I Did It,Dave Matthews Band,4u1WFYkW7pFmFvyUqUKP16,0.578,0.86,-6.011,0.0366,0.00582,0,0.246,0.512,108.051,4
155,Sick Cycle Carousel,Lifehouse,67OTvR4W0NFEWLrQRL2QGw,0.447,0.801,-5.237,0.0308,0.00131,1.16e-06,0.0803,0.42,95.46,4
156,Superman Inside,Eric Clapton,7lYz5d0fji4HHGtjXKYW1E,0.541,0.883,-3.272,0.031,0.00162,0,0.0792,0.607,118.956,4
157,Flavor of the Weak,American Hi-Fi,1UkMAtLU8NxsddE7j4zXGO,0.39,0.967,-1.946,0.0644,0.000758,1.74e-05,0.302,0.488,151.944,4
